Date,Price,Open,High,Low,Vol.,Change %
2024-10-15,"12,238.23","12,288.88","12,301.70","12,208.81",22.77M,-0.17%
2024-10-14,"12,259.23","12,186.35","12,266.58","12,176.38",17.72M,0.86%
2024-10-11,"12,154.19","12,064.63","12,176.39","12,049.68",15.80M,0.63%
2024-10-10,"12,077.76","12,137.61","12,150.68","12,070.14",18.58M,-0.37%
2024-10-09,"12,122.93","11,995.33","12,122.93","11,988.06",17.13M,0.93%
2024-10-08,"12,010.99","11,940.95","12,043.61","11,887.46",21.24M,0.02%
2024-10-07,"12,008.70","12,033.69","12,049.01","11,951.53",19.55M,0.10%
2024-10-04,"11,997.09","11,990.52","12,030.88","11,958.56",17.70M,-0.13%
2024-10-03,"12,012.32","12,124.78","12,126.90","11,973.06",16.80M,-0.91%
2024-10-02,"12,122.09","12,112.07","12,159.78","12,055.56",23.91M,0.29%
2024-10-01,"12,086.66","12,198.41","12,232.15","12,060.00",23.72M,-0.68%
2024-09-30,"12,168.87","12,175.97","12,223.98","12,168.87",23.20M,-0.53%
2024-09-27,"12,234.05","12,218.48","12,255.95","12,188.25",22.15M,0.20%
2024-09-26,"12,209.62","12,261.19","12,267.86","12,149.27",28.19M,0.50%
2024-09-25,"12,148.38","12,040.22","12,152.50","12,031.01",19.45M,0.83%
2024-09-24,"12,048.85","12,038.41","12,076.42","11,985.39",23.56M,0.70%
2024-09-23,"11,965.35","11,929.19","12,000.46","11,922.06",21.76M,0.26%
2024-09-20,"11,934.07","12,031.30","12,056.00","11,927.33",60.82M,-1.03%
2024-09-19,"12,058.30","12,075.51","12,122.87","12,034.39",23.52M,0.63%
2024-09-18,"11,982.30","12,042.54","12,057.88","11,943.70",18.02M,-0.50%
2024-09-17,"12,042.78","12,055.96","12,120.01","12,040.76",21.40M,0.31%
2024-09-16,"12,005.47","11,980.99","12,057.68","11,976.92",15.59M,-0.26%
2024-09-13,"12,037.28","12,022.48","12,077.91","12,022.46",19.50M,0.46%
2024-09-12,"11,982.34","11,978.07","12,015.32","11,923.49",24.59M,0.50%
2024-09-11,"11,922.91","11,928.27","12,022.37","11,877.88",22.76M,-0.35%
2024-09-10,"11,964.71","11,941.92","12,040.40","11,914.22",20.99M,-0.13%
2024-09-09,"11,980.64","11,962.72","12,022.04","11,918.82",20.97M,0.61%
2024-09-06,"11,908.24","11,978.33","12,088.94","11,908.24",26.84M,-1.02%
2024-09-05,"12,031.34","12,103.93","12,150.92","12,031.34",22.70M,-1.19%
2024-09-04,"12,176.17","12,181.67","12,250.32","12,133.05",27.19M,-1.39%
2024-09-03,"12,348.19","12,409.27","12,427.01","12,293.90",23.55M,-0.83%
2024-09-02,"12,451.48","12,421.80","12,459.82","12,367.29",17.31M,0.12%
2024-08-30,"12,436.59","12,421.36","12,483.57","12,418.60",28.92M,0.15%
2024-08-29,"12,417.72","12,322.37","12,427.64","12,321.39",19.44M,0.56%
2024-08-28,"12,348.70","12,322.23","12,394.45","12,304.31",14.70M,0.42%
2024-08-27,"12,296.72","12,360.54","12,373.27","12,287.34",14.32M,-0.47%
2024-08-26,"12,354.35","12,338.27","12,371.92","12,332.80",11.22M,0.06%
2024-08-23,"12,347.46","12,240.94","12,351.97","12,234.52",19.60M,0.34%
2024-08-22,"12,305.45","12,266.00","12,347.41","12,265.72",14.96M,0.45%
2024-08-21,"12,250.11","12,219.48","12,274.31","12,215.53",17.17M,-0.13%
2024-08-20,"12,266.56","12,283.41","12,324.13","12,258.26",16.98M,-0.07%
2024-08-19,"12,275.24","12,168.98","12,296.22","12,167.45",15.36M,0.71%
2024-08-16,"12,188.73","12,185.65","12,222.01","12,142.33",16.10M,0.32%
2024-08-15,"12,150.22","12,107.48","12,188.49","12,063.83",19.70M,0.65%
2024-08-14,"12,071.83","11,998.19","12,085.62","11,975.96",21.11M,1.20%
2024-08-13,"11,928.14","11,911.22","11,933.42","11,800.85",16.74M,0.46%
2024-08-12,"11,873.71","11,896.16","11,935.33","11,867.32",13.66M,0.07%
2024-08-09,"11,865.93","11,837.34","11,925.71","11,826.77",13.39M,0.33%
2024-08-08,"11,827.43","11,744.65","11,831.42","11,642.77",20.12M,-0.13%
2024-08-07,"11,843.18","11,588.94","11,865.57","11,587.56",23.68M,2.89%
2024-08-06,"11,510.46","11,556.78","11,613.79","11,417.16",30.19M,-0.28%
2024-08-05,"11,543.25","11,630.46","11,631.35","11,419.90",44.64M,-2.80%
2024-08-02,"11,875.52","12,068.30","12,109.93","11,845.08",43.01M,-3.59%
2024-07-31,"12,317.44","12,282.02","12,352.11","12,282.02",29.82M,0.29%
2024-07-30,"12,282.02","12,242.90","12,296.35","12,205.57",16.03M,0.55%
2024-07-29,"12,214.90","12,291.15","12,300.07","12,197.09",17.52M,-0.22%
2024-07-26,"12,241.49","12,078.04","12,250.56","12,060.58",22.91M,1.12%
2024-07-25,"12,105.54","12,109.20","12,138.78","12,026.63",32.10M,-0.80%
2024-07-24,"12,203.17","12,179.23","12,235.24","12,178.29",20.33M,-0.62%
2024-07-23,"12,278.82","12,321.37","12,344.38","12,244.62",17.49M,-0.15%
2024-07-22,"12,296.74","12,216.57","12,334.06","12,199.04",17.19M,1.01%
2024-07-19,"12,173.44","12,236.94","12,243.73","12,165.05",24.62M,-0.61%
2024-07-18,"12,247.61","12,330.95","12,346.63","12,234.44",24.83M,-0.70%
2024-07-17,"12,333.93","12,217.70","12,357.61","12,208.58",21.81M,0.60%
2024-07-16,"12,260.93","12,220.24","12,271.34","12,197.46",16.29M,-0.15%
2024-07-15,"12,279.86","12,336.04","12,434.03","12,279.21",17.76M,-0.69%
2024-07-12,"12,365.18","12,286.14","12,383.99","12,273.81",15.96M,0.89%
2024-07-11,"12,255.78","12,222.55","12,292.48","12,203.66",18.97M,0.86%
2024-07-10,"12,151.19","12,048.76","12,153.42","12,042.99",14.32M,0.95%
2024-07-09,"12,037.36","12,021.49","12,151.28","12,011.45",19.19M,-0.12%
2024-07-08,"12,051.66","11,996.32","12,111.00","11,980.36",16.14M,0.38%
2024-07-05,"12,006.14","12,095.78","12,111.63","11,991.62",13.96M,-0.52%
2024-07-04,"12,068.80","11,994.51","12,101.45","11,988.30",15.25M,0.42%
2024-07-03,"12,018.30","12,027.31","12,067.18","11,996.00",17.75M,0.06%
2024-07-02,"12,011.02","11,951.02","12,015.14","11,920.09",21.11M,-0.32%
2024-07-01,"12,049.61","12,106.94","12,107.30","12,022.16",17.10M,0.47%
2024-06-28,"11,993.83","12,033.82","12,058.05","11,980.20",20.29M,-0.09%
2024-06-27,"12,004.31","12,048.21","12,050.52","11,990.32",18.56M,-0.09%
2024-06-26,"12,015.72","12,134.98","12,163.23","11,984.33",23.15M,-0.58%
2024-06-25,"12,086.31","12,104.21","12,124.62","12,054.76",23.78M,-0.58%
2024-06-24,"12,157.29","12,004.36","12,180.57","11,999.85",21.62M,1.20%
2024-06-21,"12,012.87","12,095.06","12,110.54","11,987.23",74.96M,-0.95%
2024-06-20,"12,128.16","12,040.28","12,129.63","12,032.25",22.93M,0.56%
2024-06-19,"12,060.24","12,047.48","12,068.12","12,024.00",19.39M,0.11%
2024-06-18,"12,046.61","12,046.28","12,048.75","11,996.51",19.05M,0.36%
2024-06-17,"12,003.52","12,043.38","12,068.23","11,955.08",17.72M,-0.34%
2024-06-14,"12,044.59","12,103.46","12,113.49","11,981.82",23.28M,-0.42%
2024-06-13,"12,095.99","12,136.80","12,175.52","12,072.74",22.22M,-0.59%
2024-06-12,"12,167.59","12,074.72","12,185.77","12,061.93",19.79M,0.78%
2024-06-11,"12,072.92","12,170.13","12,181.69","12,031.82",18.39M,-0.53%
2024-06-10,"12,137.74","12,136.17","12,202.93","12,096.55",19.90M,-0.95%
2024-06-07,"12,254.76","12,249.72","12,295.18","12,209.47",21.49M,0.11%
2024-06-06,"12,241.25","12,183.71","12,246.52","12,175.85",23.02M,0.75%
2024-06-05,"12,150.02","12,089.71","12,155.49","12,081.15",20.03M,1.17%
2024-06-04,"12,008.94","12,005.64","12,064.99","11,967.50",26.14M,0.02%
2024-06-03,"12,007.04","12,065.32","12,086.27","11,977.12",25.29M,0.05%
2024-05-31,"12,000.86","11,895.19","12,012.09","11,889.89",79.84M,0.97%
2024-05-30,"11,885.93","11,777.78","11,885.92","11,771.88",22.33M,0.78%
2024-05-29,"11,793.73","11,815.74","11,841.61","11,783.62",21.52M,-0.51%
2024-05-28,"11,854.50","11,982.76","11,986.53","11,835.46",20.11M,-0.89%
2024-05-27,"11,960.57","11,919.48","11,961.25","11,915.38",14.59M,0.24%
2024-05-24,"11,931.70","11,885.62","11,942.49","11,857.09",19.90M,-0.29%
2024-05-23,"11,966.75","11,959.60","12,016.03","11,945.59",24.44M,0.07%
2024-05-22,"11,958.67","11,981.86","11,993.95","11,929.56",21.43M,-0.36%
2024-05-21,"12,001.50","12,039.40","12,050.29","11,972.59",25.92M,-0.30%
2024-05-17,"12,037.99","12,004.88","12,046.39","11,992.42",29.60M,0.76%
2024-05-16,"11,946.66","11,955.73","11,983.75","11,930.43",25.98M,0.40%
2024-05-15,"11,899.26","11,808.65","11,906.80","11,801.75",24.03M,0.98%
2024-05-14,"11,784.07","11,710.08","11,791.70","11,697.77",25.90M,0.14%
2024-05-13,"11,768.08","11,747.76","11,772.82","11,729.47",27.26M,0.12%
2024-05-10,"11,753.70","11,661.72","11,761.78","11,660.90",28.91M,1.31%
2024-05-08,"11,602.21","11,551.01","11,602.21","11,542.78",28.91M,0.78%
2024-05-07,"11,512.97","11,352.58","11,526.26","11,351.17",33.98M,1.64%
2024-05-06,"11,327.66","11,283.23","11,381.81","11,277.59",17.43M,0.49%
2024-05-03,"11,272.95","11,239.82","11,335.26","11,221.41",,0.56%
2024-05-02,"11,209.63","11,286.71","11,301.35","11,188.72",27.50M,-0.46%
2024-04-30,"11,260.91","11,329.35","11,338.84","11,260.91",26.35M,-0.63%
2024-04-29,"11,332.36","11,370.51","11,392.82","11,332.36",19.23M,-0.11%
2024-04-26,"11,344.32","11,344.52","11,360.42","11,294.67",23.77M,0.74%
2024-04-25,"11,260.61","11,342.83","11,345.29","11,194.82",33.52M,-0.97%
2024-04-24,"11,370.74","11,450.40","11,459.47","11,370.74",31.52M,-0.86%
2024-04-23,"11,469.15","11,440.87","11,515.09","11,422.08",29.50M,1.25%
2024-04-22,"11,327.77","11,305.37","11,338.97","11,256.40",29.30M,0.28%
2024-04-19,"11,296.40","11,144.15","11,296.40","11,127.42",31.28M,0.59%
2024-04-18,"11,230.43","11,235.85","11,281.46","11,173.64",27.95M,-0.01%
2024-04-17,"11,231.83","11,203.04","11,286.79","11,182.89",22.71M,0.31%
2024-04-16,"11,196.67","11,262.00","11,282.97","11,172.40",29.74M,-1.75%
2024-04-15,"11,395.81","11,425.10","11,464.31","11,375.12",20.22M,0.14%
2024-04-12,"11,379.58","11,508.31","11,530.34","11,357.56",23.28M,-0.75%
2024-04-11,"11,465.74","11,492.07","11,537.57","11,427.48",24.89M,-0.26%
2024-04-10,"11,495.21","11,558.89","11,559.63","11,404.39",24.50M,-0.09%
2024-04-09,"11,506.04","11,525.03","11,577.76","11,486.67",19.86M,-0.36%
2024-04-08,"11,547.14","11,501.71","11,561.38","11,487.41",19.99M,0.45%
2024-04-05,"11,495.79","11,543.31","11,548.31","11,480.87",25.94M,-1.67%
2024-04-04,"11,691.13","11,633.88","11,693.57","11,616.46",24.41M,0.64%
2024-04-03,"11,616.87","11,613.24","11,629.43","11,582.33",25.81M,0.19%
2024-04-02,"11,595.00","11,730.43","11,762.56","11,582.00",24.19M,-1.15%
2024-03-28,"11,730.43","11,732.83","11,740.68","11,687.14",26.56M,0.21%
2024-03-27,"11,705.71","11,703.43","11,722.09","11,672.70",21.43M,0.22%
2024-03-26,"11,680.36","11,648.70","11,693.84","11,639.14",22.83M,0.37%
2024-03-25,"11,637.05","11,630.09","11,640.86","11,583.39",20.44M,-0.13%
2024-03-22,"11,651.99","11,690.10","11,715.50","11,651.99",21.50M,-0.44%
2024-03-21,"11,703.66","11,651.43","11,779.24","11,650.60",29.80M,0.73%
2024-03-20,"11,618.63","11,570.11","11,635.44","11,558.50",23.68M,0.35%
2024-03-19,"11,577.80","11,588.09","11,613.72","11,536.27",25.41M,-0.39%
2024-03-18,"11,623.63","11,663.62","11,666.09","11,593.41",21.95M,-0.45%
2024-03-15,"11,676.13","11,733.92","11,761.03","11,676.13",109.53M,-0.38%
2024-03-14,"11,720.70","11,747.52","11,779.76","11,688.35",27.14M,-0.59%
2024-03-13,"11,790.46","11,757.38","11,799.91","11,735.91",28.30M,0.24%
2024-03-12,"11,762.05","11,721.59","11,775.97","11,669.67",28.08M,0.66%
2024-03-11,"11,685.19","11,634.57","11,685.19","11,623.47",26.74M,0.33%
2024-03-08,"11,647.14","11,581.67","11,649.99","11,580.24",34.75M,0.62%
2024-03-07,"11,575.37","11,492.67","11,583.74","11,470.77",31.98M,0.25%
2024-03-06,"11,546.47","11,470.91","11,546.47","11,463.01",23.51M,0.72%
2024-03-05,"11,463.74","11,484.97","11,504.02","11,447.89",22.13M,-0.12%
2024-03-04,"11,477.80","11,489.88","11,493.47","11,424.79",22.15M,-0.14%
2024-03-01,"11,493.92","11,486.72","11,529.24","11,456.21",24.61M,0.48%
2024-02-29,"11,438.86","11,446.33","11,486.43","11,418.45",44.64M,0.21%
2024-02-28,"11,414.38","11,460.81","11,498.95","11,414.38",26.14M,-0.23%
2024-02-27,"11,440.45","11,433.65","11,466.95","11,410.28",21.56M,-0.11%
2024-02-26,"11,452.88","11,495.58","11,524.36","11,452.88",22.86M,-0.38%
2024-02-23,"11,496.76","11,406.58","11,505.72","11,402.00",22.41M,0.97%
2024-02-22,"11,386.17","11,435.15","11,455.10","11,368.28",32.55M,-0.37%
2024-02-21,"11,428.74","11,437.95","11,454.22","11,407.67",18.83M,-0.25%
2024-02-20,"11,456.96","11,394.32","11,477.47","11,375.53",19.42M,0.51%
2024-02-19,"11,398.44","11,300.18","11,407.31","11,292.66",14.74M,0.78%
2024-02-16,"11,310.61","11,282.37","11,358.00","11,282.37",24.50M,0.23%
2024-02-15,"11,284.18","11,242.18","11,292.07","11,231.66",21.44M,0.63%
2024-02-14,"11,213.64","11,141.34","11,217.77","11,141.34",18.74M,0.64%
2024-02-13,"11,142.79","11,206.91","11,231.94","11,100.88",25.16M,-0.33%
2024-02-12,"11,179.30","11,130.26","11,184.14","11,117.40",18.59M,0.79%
2024-02-09,"11,091.58","11,153.52","11,161.06","11,064.90",21.06M,-0.42%
2024-02-08,"11,138.85","11,219.36","11,257.04","11,138.85",26.55M,-0.64%
2024-02-07,"11,210.25","11,265.84","11,267.44","11,206.02",32.40M,-0.31%
2024-02-06,"11,245.03","11,315.53","11,318.39","11,192.32",35.23M,-0.26%
2024-02-05,"11,274.47","11,257.21","11,295.09","11,227.45",21.44M,0.31%
2024-02-02,"11,239.68","11,287.11","11,300.86","11,231.49",22.75M,0.23%
2024-02-01,"11,213.91","11,264.59","11,295.47","11,194.31",30.79M,-1.05%
2024-01-31,"11,333.38","11,396.67","11,422.40","11,332.22",33.66M,-0.96%
2024-01-30,"11,443.13","11,438.24","11,473.57","11,420.15",20.18M,0.12%
2024-01-29,"11,429.83","11,367.05","11,437.47","11,360.28",25.50M,0.35%
2024-01-26,"11,390.13","11,248.65","11,421.24","11,245.38",23.00M,1.62%
2024-01-25,"11,209.02","11,158.60","11,209.02","11,138.04",18.57M,0.11%
2024-01-24,"11,196.82","11,165.56","11,199.49","11,144.16",21.13M,0.43%
2024-01-23,"11,149.26","11,283.05","11,287.44","11,149.26",21.01M,-1.12%
2024-01-22,"11,275.35","11,223.75","11,289.44","11,198.26",20.24M,1.12%
2024-01-19,"11,150.52","11,237.26","11,253.56","11,129.57",31.00M,-0.32%
2024-01-18,"11,185.88","11,092.79","11,218.02","11,088.62",22.63M,0.33%
2024-01-17,"11,148.56","11,130.83","11,148.56","11,088.87",22.78M,-0.72%
2024-01-16,"11,229.65","11,148.28","11,237.79","11,139.24",20.11M,0.20%
2024-01-15,"11,207.51","11,239.13","11,264.72","11,202.35",13.39M,-0.17%
2024-01-12,"11,226.40","11,193.42","11,255.02","11,172.67",19.46M,0.65%
2024-01-11,"11,153.62","11,291.70","11,309.94","11,151.08",20.41M,-0.90%
2024-01-10,"11,255.00","11,218.54","11,276.39","11,202.95",25.58M,0.06%
2024-01-09,"11,248.65","11,228.45","11,261.42","11,192.12",19.82M,0.16%
2024-01-08,"11,230.40","11,193.13","11,238.38","11,124.02",17.26M,0.40%
2024-01-05,"11,185.90","11,173.36","11,216.35","11,113.75",17.15M,-0.34%
2024-01-04,"11,224.37","11,200.90","11,224.37","11,139.16",21.97M,0.48%
2024-01-03,"11,170.26","11,204.85","11,294.93","11,136.29",36.28M,0.29%
2023-12-29,"11,137.79","11,099.41","11,143.59","11,085.70",14.05M,0.73%
2023-12-28,"11,057.55","11,126.80","11,129.24","11,057.55",13.99M,-0.51%
2023-12-27,"11,113.98","11,138.56","11,162.51","11,093.43",13.70M,-0.35%
2023-12-22,"11,153.09","11,100.32","11,160.23","11,093.37",13.73M,0.18%
2023-12-21,"11,132.60","11,125.61","11,141.58","11,064.29",17.43M,-0.11%
2023-12-20,"11,144.88","11,160.37","11,191.30","11,121.05",21.36M,-0.01%
2023-12-19,"11,146.43","11,165.96","11,189.06","11,136.95",28.81M,-0.08%
2023-12-18,"11,155.80","11,142.54","11,205.55","11,137.18",21.65M,-0.32%
2023-12-15,"11,191.89","11,218.99","11,229.56","11,154.64",65.34M,-0.16%
