"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","11,797.72","11,918.78","11,932.08","11,775.75","24.89M","-1.00%"
"11/07/2024","11,917.00","11,863.67","11,990.69","11,855.47","29.30M","0.59%"
"11/06/2024","11,847.29","11,997.42","12,122.20","11,821.48","37.28M","-0.16%"
"11/05/2024","11,866.01","11,920.49","11,924.70","11,839.35","23.35M","-0.26%"
"11/04/2024","11,896.94","11,946.40","11,983.26","11,896.94","16.63M","-0.59%"
"11/01/2024","11,967.20","11,843.05","11,991.87","11,842.98","20.26M","1.48%"
"10/31/2024","11,792.92","11,905.42","11,905.42","11,745.30","28.92M","-1.46%"
"10/30/2024","11,967.70","12,070.02","12,093.33","11,952.43","32.60M","-1.10%"
"10/29/2024","12,100.57","12,252.26","12,253.41","12,098.69","26.00M","-1.12%"
"10/28/2024","12,237.97","12,230.43","12,254.80","12,155.96","17.27M","0.44%"
"10/25/2024","12,184.00","12,154.39","12,197.76","12,142.92","15.23M","0.09%"
"10/24/2024","12,173.04","12,174.20","12,224.63","12,169.08","19.38M","0.21%"
"10/23/2024","12,147.10","12,173.84","12,218.38","12,107.05","16.99M","-0.13%"
"10/22/2024","12,163.33","12,234.37","12,238.56","12,120.99","16.43M","-0.80%"
"10/21/2024","12,261.87","12,303.69","12,355.26","12,251.99","17.87M","-0.53%"
"10/18/2024","12,326.76","12,289.14","12,348.16","12,280.52","24.02M","0.18%"
"10/17/2024","12,304.27","12,159.22","12,353.12","12,130.49","27.69M","0.91%"
"10/16/2024","12,193.07","12,161.01","12,223.11","12,170.28","20.57M","-0.21%"
"10/15/2024","12,218.85","12,288.88","12,301.70","12,208.81","22.77M","-0.33%"
"10/14/2024","12,259.23","12,186.35","12,266.58","12,176.38","17.72M","0.86%"
"10/11/2024","12,154.19","12,064.63","12,176.39","12,049.68","15.80M","0.63%"
"10/10/2024","12,077.76","12,137.61","12,150.68","12,070.14","18.58M","-0.37%"
"10/09/2024","12,122.93","11,995.33","12,122.93","11,988.06","17.13M","0.93%"
"10/08/2024","12,010.99","11,940.95","12,043.61","11,887.46","21.24M","0.02%"
"10/07/2024","12,008.70","12,033.69","12,049.01","11,951.53","19.55M","0.10%"
"10/04/2024","11,997.09","11,990.52","12,030.88","11,958.56","17.70M","-0.13%"
"10/03/2024","12,012.32","12,124.78","12,126.90","11,973.06","16.80M","-0.91%"
"10/02/2024","12,122.09","12,112.07","12,159.78","12,055.56","23.91M","0.29%"
"10/01/2024","12,086.66","12,198.41","12,232.15","12,060.00","23.72M","-0.68%"
"09/30/2024","12,168.87","12,175.97","12,223.98","12,168.87","23.20M","-0.53%"
"09/27/2024","12,234.05","12,218.48","12,255.95","12,188.25","22.15M","0.20%"
"09/26/2024","12,209.62","12,261.19","12,267.86","12,149.27","28.19M","0.50%"
"09/25/2024","12,148.38","12,040.22","12,152.50","12,031.01","19.45M","0.83%"
