Date,Close,Open,High,Low,Vol.,Change
2022-08-16,11130.44,11182.59,11185.92,11085.13,22.81M,-0.37%
2022-08-17,11128.19,11137.84,11192.68,11114.6,58.81M,-0.02%
2022-08-18,11167.59,11107.7,11186.5,11090.08,20.22M,0.35%
2022-08-19,11156.72,11125.8,11241.18,11125.8,33.74M,-0.10%
2022-08-22,11085.84,11105.65,11144.6,11052.39,31.92M,-0.64%
2022-08-23,10933.06,11021.23,11046.46,10921.85,28.73M,-1.40%
2022-08-24,11012.87,10925.64,11020.44,10895.27,28.57M,0.72%
2022-08-25,11063.88,11056.95,11122.18,10975.51,24.99M,0.46%
2022-08-26,10942.16,11095.69,11102.5,10930.37,26.91M,-1.11%
2022-08-29,10896.74,10882.9,10938.17,10840.61,24.44M,-0.42%
2022-08-30,10884.95,10914.18,11007.86,10865.82,24.86M,-0.11%
2022-08-31,10855.03,10898.13,10949.6,10816.54,39.44M,-0.28%
2022-09-01,10663.44,10768.61,10778.93,10652.28,36.87M,-1.80%
2022-09-02,10891.71,10720.46,10897.06,10713.25,37.12M,2.10%
2022-09-05,10819.54,10742.15,10837.23,10686.59,26.02M,-0.67%
2022-09-06,10834.18,10819.78,10930.48,10780.12,26.48M,0.14%
2022-09-07,10805.16,10799.63,10841.62,10727.12,28.11M,-0.27%
2022-09-08,10790.32,10849.33,10867.83,10667.43,32.64M,-0.14%
2022-09-09,10900.24,10814.39,10940.52,10793.24,31.98M,1.01%
2022-09-12,10990.75,10928.6,11013.98,10901.12,34.48M,0.82%
2022-09-13,10891.54,11034.08,11083.49,10891.54,41.21M,-0.91%
2022-09-14,10754.40,10840.36,10872.76,10727.43,39.10M,-1.28%
2022-09-15,10746.70,10762.95,10837.1,10714.59,32.70M,-0.07%
2022-09-16,10610.65,10692.8,10750.95,10610.65,105.56M,-1.28%
2022-09-19,10617.01,10588.18,10645.39,10520.9,29.77M,0.06%
2022-09-20,10476.54,10648.17,10690.84,10476.54,32.53M,-1.34%
2022-09-21,10429.40,10415.67,10450.62,10380.48,31.95M,-0.45%
2022-09-22,10297.65,10268.67,10458.1,10266.7,49.47M,-1.28%
